,artist,year,year
,count,amin,amax
blue-sky-black-death,2,2013,2013
e-jake,2,2016,2016
corte-ellis,2,2010,2010
correy-c,2,2016,2016
east,2,2015,2016
easy-mo-bee,2,2008,2008
derrick-milano,2,2016,2016
blu-nottz,2,2016,2016
baby-blue-soundcrew,2,2006,2006
cruzito,2,2008,2010
bailey,2,2013,2015
camoflauge,2,2006,2006
cyrus-deshield,2,2010,2011
badministrator,2,2012,2012
can-t-stop-won-t-stop,2,2014,2015
fekky,2,2016,2016
antoine-dodson,2,2010,2012
dream-warriors,2,2008,2008
ant-banks,2,2008,2008
cristyle,2,2012,2013
drew-deezy,2,2011,2011
fenix,2,2013,2015
cool-calm-pete,2,2009,2009
dro,2,2006,2008
flight-school,2,2011,2012
annakin-slayd,2,2010,2011
cassow,2,2013,2013
baby-boy-da-prince,2,2008,2008
dag-savage,2,2014,2016
chip-the-ripper,2,2010,2010
common-john-legend,2,2015,2015
dels,2,2012,2014
black-alien,2,2011,2013
aj-tracey,2,2016,2016
dj-chose,2,2016,2016
blood-diamonds,2,2011,2013
aaron-knight,2,2016,2016
the-doppelgangaz,2,2016,2016
the-dnc,2,2011,2011
aaries,2,2006,2008
a-wax,2,2013,2015
broken,2,2012,2015
chubbie-baby,2,2011,2012
fred-de-palma,2,2016,2016
darthreider,2,2013,2013
funk-volume,2,2013,2015
at,2,2009,2010
erick-arc-elliott,2,2013,2014
bryant-myers,2,2016,2016
aspektz,2,2012,2013
black-el,2,2016,2016
a-p,2,2012,2013
clap-clap,2,2014,2014
bleu-davinci,2,2012,2014
deemah,2,2010,2011
digga,2,2007,2008
blastah-beatz,2,2016,2016
f-virtue,2,2016,2016
blake-banks,2,2016,2016
bladee,2,2016,2016
evil-nine,2,2013,2014
absolute,2,2006,2011
dillon-cooper,2,2016,2016
black-thought,2,2013,2015
fabio-rovazzi,2,2016,2016
dipset,2,2015,2015
abn,2,2009,2009
black-hippy,2,2013,2013
18,2,2015,2015
fabo,2,2009,2013
dj-ill-will,2,2010,2011
daryl-coley,2,2008,2012
daoko,2,2015,2015
a-f-r-o,2,2016,2016
cocoa-sarai,2,2010,2011
eoghan-heaslip,2,2010,2012
coffey-anderson,2,2010,2010
denyo,2,2009,2015
big-lean,2,2015,2016
chris-j,2,2009,2010
ca-h-money-click,2,2006,2006
g-g-sindikatas,2,2006,2008
dj-self,2,2014,2014
a-game,2,2013,2016
c-rayz-walz,2,2006,2006
dj-suss-one,2,2011,2013
c-rico,2,2013,2013
big-bank-black,2,2013,2013
big-noyd,2,2008,2008
dj-whoo-kid,2,2013,2014
bugatti-boyz,2,2010,2010
gia-medley,2,2012,2016
dante-beckford,2,2016,2016
fred-money,2,2009,2013
dezert-eez,2,2016,2016
akwid,2,2009,2011
bug-mafia,2,2006,2011
big-rob,2,2006,2009
big-d,2,2013,2013
cobe-obeah,2,2011,2012
eppic,2,2011,2012
allen-iverson,2,2006,2006
2much,2,2010,2012
31st-century,1,2010,2010
angelo-mota,1,2016,2016
the-celebration-choir,1,2016,2016
the-cross-movement,1,2011,2011
eypio,1,2016,2016
asap-nast,1,2016,2016
fatman-scoop,1,2015,2015
fatkidsbrotha,1,2016,2016
fg,1,2016,2016
apollo-the-great,1,2013,2013
felli-fel,1,2007,2007
fast-life-youngstaz,1,2009,2009
architekt,1,2016,2016
gangrene,1,2012,2012
antwon,1,2016,2016
2-live-jews,1,2006,2006
2-chainz-wiz-khalifa,1,2013,2013
after-the-smoke,1,2011,2011
fe-tha-don,1,2016,2016
asap-lotto,1,2016,2016
1982-termanology-and-statik-selektah,1,2012,2012
aro,1,2015,2015
faf-larage,1,2006,2006
animal-cannibals,1,2012,2012
g4shi,1,2016,2016
faceoff,1,2012,2012
2win,1,2012,2012
the-buttress,1,2013,2013
floetics,1,2009,2009
angel-khriz,1,2014,2014
a-k-s-w-i-f-t,1,2006,2006
a-villa,1,2014,2014
ghali,1,2016,2016
frits,1,2016,2016
a-m-sniper,1,2016,2016
garscon,1,2013,2013
aldo,1,2014,2014
freeze,1,2012,2012
ale-jhay,1,2012,2012
ajs-nigrutin,1,2011,2011
aleon-craft,1,2010,2010
free-ackrite,1,2016,2016
gilles,1,2016,2016
alia-zin,1,2016,2016
freddy-p,1,2013,2013
gina-rene,1,2006,2006
freck-billionaire,1,2011,2011
ajs-nigrutin-bvana,1,2012,2012
aggro,1,2006,2006
finding-novyon,1,2016,2016
future-gucci-mane,1,2012,2012
agustus-thelefant,1,2012,2012
gee-wunder,1,2010,2010
eyedea-abilities,1,2011,2011
acts-29,1,2009,2009
g-boyz,1,2012,2012
ahi,1,2016,2016
general-larry-platt,1,2010,2010
general-steele,1,2012,2012
aaron-cartier,1,2016,2016
general-woo,1,2013,2013
general-woo-nered,1,2013,2013
aasim,1,2014,2014
future-allah,1,2016,2016
george-reefah,1,2009,2009
george-the-poet,1,2015,2015
funky-family,1,1984,1984
frauenarzt-manny-marc,1,2009,2009
frankie-smith,1,2007,2007
alx-r,1,2016,2016
flawless-real-talk,1,2012,2012
gorilla-warfare-tactics,1,2011,2011
gangsta-pat,1,2009,2009
600breezy,1,2016,2016
60-east,1,2016,2016
g-perico,1,2016,2016
andre-crouch,1,2013,2013
andre-legacy,1,2009,2009
5-mic-z,1,2012,2012
gino,1,2016,2016
4th-pyramid,1,2013,2013
add-2,1,2013,2013
4real,1,2012,2012
grandtheft,1,2015,2015
first-serve,1,2012,2012
44g,1,2016,2016
3d,1,2014,2014
gangstagrass,1,2010,2010
goodfellaz,1,2010,2010
good-belt-gang,1,2013,2013
goldie-the-gasman,1,2016,2016
a-chal,1,2016,2016
frank-ccean,1,2011,2011
amanda-diva,1,2010,2010
american-yard,1,2011,2011
g-mo-skee,1,2016,2016
amg,1,2013,2013
931blackboy,1,2016,2016
ammbush,1,2013,2013
amo,1,2013,2013
adamn-killa,1,2016,2016
flowboysfam,1,2016,2016
gold-top,1,2014,2014
ana-baby,1,2011,2011
agust-d,1,2016,2016
golden-features,1,2016,2016
flowz,1,2014,2014
barikad-crew,1,2013,2013
asco-jones,1,2016,2016
darnell-robinson,1,2011,2011
dblcrss,1,2016,2016
daz-woods,1,2016,2016
brasstracks,1,2016,2016
brav,1,2011,2011
daye-jack,1,2016,2016
day,1,2012,2012
davis,1,2016,2016
davinche,1,2011,2011
break-science,1,2013,2013
davee,1,2016,2016
dat-boy,1,2016,2016
darnell-williams,1,2016,2016
buck-22,1,2014,2014
brad-neely,1,2014,2014
danse,1,2016,2016
dano,1,2015,2015
buckmouth,1,2011,2011
burberry-perry,1,2016,2016
daniel-calveti,1,2008,2008
danger-mouse-and-jemini,1,2006,2006
butch-clancy,1,2013,2013
bwa-kane,1,2016,2016
dan-bremnes,1,2014,2014
c-side,1,2008,2008
damani,1,2009,2009
daily-meds,1,2013,2013
dc-young-fly,1,2016,2016
bozack-morris,1,2016,2016
daddy-freddy,1,2015,2015
bobbyxl,1,2016,2016
dexter,1,2016,2016
dex,1,2008,2008
dewayne-woods,1,2015,2015
devine-carama,1,2013,2013
dessa,1,2016,2016
blueprint,1,2015,2015
blvd-marc,1,2015,2015
bmac-the-queen,1,2016,2016
denaun-porter,1,2016,2016
denaun,1,2016,2016
dem-hoodstarz,1,2012,2012
dellafuente,1,2016,2016
bobo-norco,1,2014,2014
de-lcaeb,1,2011,2011
del,1,2011,2011
boca-floja,1,2013,2013
bondan-prakoso,1,2012,2012
bone-brothers,1,2006,2006
bone-thugs,1,2013,2013
boo-rossini,1,2013,2013
boofboiicy,1,2016,2016
deep,1,2016,2016
dee-goodz,1,2016,2016
bouwer-bosch,1,2016,2016
boy-wonder,1,2013,2013
deach,1,2012,2012
cali-life-style,1,2009,2009
daddy-dinero,1,2016,2016
blockboys,1,2016,2016
children-of-distance,1,2012,2012
chad-b,1,2016,2016
courtney,1,2013,2013
chadd-mcclain,1,2016,2016
cory-rhymal,1,2016,2016
chancellor-warhol,1,2016,2016
cory-asbury,1,2009,2009
corporate-lo-fi,1,2016,2016
cordell-francis,1,2011,2011
corason-the-great,1,2014,2014
coolshit,1,2016,2016
charlie-hustle,1,2012,2012
chicago-santana,1,2016,2016
china-mac,1,2016,2016
ceej,1,2016,2016
choklate,1,2010,2010
chris-crack,1,2016,2016
chris-geo,1,2013,2013
chris-porter,1,2015,2015
chris-styles,1,2010,2010
chrisco,1,2012,2012
chuck-strangers,1,2016,2016
chynaman,1,2013,2013
cinos,1,2013,2013
circle-of-tyrants,1,2012,2012
cisco-adler,1,2016,2016
clam-casino,1,2011,2011
ceza,1,2016,2016
craig-xen,1,2016,2016
califonia-swag-district,1,2011,2011
cameron-grey,1,2012,2012
da-youngfellaz,1,2016,2016
da-luniz,1,2006,2006
california-swag-district,1,2010,2010
da-entourage,1,2006,2006
calikidd,1,2014,2014
d-unit,1,2012,2012
d-sisive,1,2010,2010
d-prosper,1,2012,2012
d-o-e,1,2016,2016
d-moe,1,2016,2016
camel-power-club,1,2016,2016
d-jaysremm,1,2016,2016
cya,1,2015,2015
crave-uk,1,2013,2013
candy-rain,1,2006,2006
curtis-young,1,2011,2011
capital-b,1,2016,2016
capital-steez,1,2016,2016
captain-murphy,1,2016,2016
cartier-kitten,1,2012,2012
crs,1,2011,2011
crown-bella,1,2016,2016
cashius-green,1,2012,2012
cashtastic,1,2014,2014
criss-blaziny,1,2009,2009
creative-gold,1,2016,2016
diafrix,1,2012,2012
blended-babies,1,2016,2016
ashley-walters,1,2012,2012
e-40-too-short,1,2012,2012
aziatix,1,2012,2012
b-breaks,1,2013,2013
ege-rubukrngu,1,2016,2016
edward-chen,1,2016,2016
edorf,1,2012,2012
b-g-knocc-out,1,2012,2012
echo,1,2014,2014
ecco2k,1,2016,2016
b-iousha,1,2016,2016
b-leza,1,2016,2016
b-mac,1,2013,2013
e-dog,1,2016,2016
dy,1,2010,2010
azee,1,2012,2012
baba,1,2016,2016
durag-dynasty,1,2013,2013
baby-blue,1,2013,2013
dumbfounded,1,2010,2010
duckwrth,1,2016,2016
dub-phizix,1,2016,2016
dtweezer,1,2016,2016
drunken-tiger,1,2011,2011
droop-e,1,2013,2013
drevo-coolidge,1,2016,2016
backburner,1,2012,2012
bahamadia,1,2008,2008
eighty4-fly,1,2012,2012
el-lapiz-conciente,1,2009,2009
baka-boyz,1,2015,2015
ericka-june,1,2010,2010
ashmont-hill,1,2011,2011
evrythingmick,1,2013,2013
ashoka,1,2016,2016
asia-nitollano,1,2009,2009
eva-maria,1,2013,2013
euro,1,2014,2014
ethan-sacii,1,2016,2016
asiah-dio,1,2016,2016
esta,1,2016,2016
astal,1,2013,2013
astro-aka-the-astronomical-kid,1,2013,2013
astroid-boys,1,2014,2014
eric-lau,1,2013,2013
axl-smith,1,2014,2014
erfan,1,2011,2011
atumpan,1,2016,2016
entrelineas,1,2012,2012
audio-two,1,2014,2014
emp,1,2016,2016
audra-lynn,1,2013,2013
austin-millz,1,2016,2016
authentic-sounds,1,2011,2011
awar,1,2012,2012
ella-chen,1,2016,2016
eliacim,1,2012,2012
axe-murder-boys,1,2009,2009
dpg,1,2008,2008
bali,1,2010,2010
black-money,1,2016,2016
dj-honda,1,2008,2008
dj-spinatik,1,2016,2016
dj-skee,1,2013,2013
big-h,1,2010,2010
big-lou,1,2011,2011
dj-rebel,1,2016,2016
dj-pone,1,2014,2014
dj-pharris,1,2011,2011
big-o,1,2012,2012
dj-manipulator,1,2016,2016
big-sant,1,2012,2012
big-timers,1,2006,2006
big-twan,1,2016,2016
dj-hollywood,1,2016,2016
big-ali,1,2016,2016
binky-bandz,1,2016,2016
dj-haze,1,2012,2012
dj-fly-guy,1,2016,2016
dj-esco,1,2016,2016
dj-concept,1,2016,2016
bizzy-montana,1,2009,2009
dj-casper,1,2015,2015
dj-abdel,1,2013,2013
dizraeli-the-small-gods,1,2012,2012
black-frost,1,2012,2012
disko,1,2012,2012
dirtyface-smook,1,2016,2016
dj-tony-touch,1,2016,2016
dj-webstar,1,2011,2011
double-life,1,2015,2015
ben-blackwell,1,2012,2012
dose-one,1,2013,2013
basby,1,2016,2016
bathgate,1,2013,2013
dope-boy,1,2012,2012
bayje,1,2011,2011
bbod,1,2016,2016
donmonique,1,2016,2016
donchristian,1,2013,2013
be-me,1,2012,2012
donatan-cleo,1,2014,2014
don-omar-lucenzo,1,2013,2013
beedie,1,2015,2015
don-benjamin,1,2015,2015
djas,1,2012,2012
dominoe-ch-yea,1,2012,2012
dominique-de-beau,1,2013,2013
domani-harris,1,2016,2016
benin-city,1,2014,2014
benjamin-bear,1,2012,2012
doley-bernays,1,2014,2014
dok2,1,2016,2016
beverly-crawford,1,2014,2014
doc-brown,1,2013,2013
bezz-believe,1,2016,2016
dl-incognito,1,2013,2013
bianca-bonnie,1,2016,2016
1000volts,1,2016,2016
